dgp,K_true,model,seed,T,T_train,max_rhat,min_ess_bulk,converged,elpd_loo,loo_se,p_loo,elpd_waic,waic_se,train_rmse,test_rmse,train_coverage_90,test_coverage_90,effective_k_mean,effective_k_std,alpha_in_ci,sigma_in_ci,alpha_true,alpha_est,delta_loo,delta_loo_significant
mixture_k5,5,mixture_k3,1,200,150,1.01,276.0,True,-496.7547302246094,8.664309627340653,9.656765460968018,-496.4801130713895,8.597357764004949,6.733606338500977,7.742209434509277,0.9133333333333333,0.88,2.91,0.2879236009777594,True,False,0.5,0.4009094834327698,8.055377006530762,False
mixture_k5,5,sparse_k5,1,200,150,1.0,848.0,True,-495.72200298309326,8.634702291627848,9.340744972229004,-495.4793721809983,8.57191111102123,6.742813587188721,7.756760120391846,0.9133333333333333,0.9,3.893875,0.7709490802737883,True,False,0.5,0.3963642716407776,9.088104248046875,False
mixture_k5,5,single_hill,2,200,150,1.0,3247.0,True,-508.7405700683594,9.91549378629279,4.81212043762207,-508.7245356035419,9.911630044853329,6.964751243591309,8.436306953430176,0.94,0.78,1.0,0.0,True,False,0.5,0.3952086269855499,0.0,False
mixture_k5,5,mixture_k3,2,200,150,1.06,110.0,False,-501.22447204589844,8.12262269685076,8.992743968963623,-501.0064743505791,8.058359684133373,6.962604522705078,8.527695655822754,0.9266666666666666,0.78,2.895,0.30777426793024787,True,False,0.5,0.4389452040195465,7.5160980224609375,False
mixture_k5,5,sparse_k5,2,200,150,1.01,371.0,True,-500.46138858795166,8.112937200788476,9.89531135559082,-500.1667111767456,8.027106421774379,6.99337100982666,8.529151916503906,0.92,0.78,3.959375,0.777479652064927,True,True,0.5,0.45464667677879333,8.279181480407715,False
mixture_k5,5,single_hill,3,200,150,1.0,2020.0,True,-517.3922681808472,11.012124301829452,11.20168399810791,-517.9135437679943,11.263018441472687,7.1550445556640625,7.626771926879883,0.92,0.82,1.0,0.0,True,False,0.5,0.48882928490638733,0.0,False
mixture_k5,5,mixture_k3,3,200,150,1.07,41.0,False,-491.0694751739502,9.353266321465977,10.938109874725342,-490.98000146402046,9.362516164249417,7.2541303634643555,7.489469051361084,0.92,0.84,2.786625,0.409690260288184,True,False,0.5,0.5751257538795471,26.322793006896973,False
mixture_k5,5,sparse_k5,3,200,150,1.01,554.0,True,-490.5999174118042,9.30438851255844,10.969808101654053,-490.41586531465873,9.274628608640189,7.2652058601379395,7.493494510650635,0.92,0.82,3.600875,0.8217811353243636,True,False,0.5,0.5779909491539001,26.79235076904297,False
mixture_k5,5,single_hill,4,200,150,1.0,2858.0,True,-507.34864139556885,8.958980628095334,6.002199172973633,-507.246269707568,8.931186797226959,6.850334644317627,8.768622398376465,0.92,0.84,1.0,0.0,True,False,0.5,0.6342949867248535,0.0,False
mixture_k5,5,mixture_k3,4,200,150,1.02,317.0,True,-497.4414300918579,7.786208089187372,7.924951076507568,-497.3402734929696,7.767436366082355,6.867958068847656,8.691240310668945,0.92,0.82,2.807125,0.3945557430515998,True,False,0.5,0.6160315871238708,9.907211303710938,False
mixture_k5,5,sparse_k5,4,200,150,1.01,760.0,True,-497.56120777130127,7.784471328673118,7.999640464782715,-497.4441964873113,7.757054143259183,6.872323036193848,8.68657112121582,0.9266666666666666,0.82,3.52425,0.8158810804890625,True,False,0.5,0.6144822835922241,9.787433624267578,False
